"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 16:02:50 EDT 2023","Tue Mar 28 16:02:54 EDT 2023","3677","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 14:27:06 EDT 2023","Tue Mar 28 14:27:09 EDT 2023","3249","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 14:30:44 EDT 2023","Tue Mar 28 14:30:46 EDT 2023","2664","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 10:55:53 EDT 2023","Tue Mar 28 10:55:58 EDT 2023","5412","","My Login application","","","","should login with valid credentials",""
"passed","Wed Mar 29 09:12:07 EDT 2023","Wed Mar 29 09:12:11 EDT 2023","3605","","My Login application","","","","should login with valid credentials",""
"failed","Wed Mar 29 09:12:11 EDT 2023","Wed Mar 29 09:12:22 EDT 2023","10913","","My Login application","","","","should login with fake valid credentials",""
"passed","Mon Mar 27 16:14:37 EDT 2023","Mon Mar 27 16:14:41 EDT 2023","3880","","My Login application","","","","should login with valid credentials",""
"passed","Wed Mar 29 08:56:33 EDT 2023","Wed Mar 29 08:56:37 EDT 2023","3532","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 14:31:27 EDT 2023","Tue Mar 28 14:31:31 EDT 2023","4206","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 09:55:56 EDT 2023","Tue Mar 28 09:55:58 EDT 2023","1740","","My Login application","","","","should login with valid credentials",""
"passed","Fri Mar 24 15:11:31 EDT 2023","Fri Mar 24 15:11:33 EDT 2023","1468","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 14:33:55 EDT 2023","Tue Mar 28 14:33:57 EDT 2023","2749","","My Login application","","","","should login with valid credentials",""
"passed","Fri Mar 24 17:07:24 EDT 2023","Fri Mar 24 17:07:26 EDT 2023","1460","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 11:12:09 EDT 2023","Tue Mar 28 11:12:12 EDT 2023","2652","","My Login application","","","","should login with valid credentials",""
"passed","Fri Mar 24 15:12:40 EDT 2023","Fri Mar 24 15:12:42 EDT 2023","1464","","My Login application","","","","should login with valid credentials",""
"passed","Fri Mar 24 14:32:03 EDT 2023","Fri Mar 24 14:32:04 EDT 2023","1577","","My Login application","","","","should login with valid credentials",""
"passed","Mon Mar 27 16:13:39 EDT 2023","Mon Mar 27 16:13:41 EDT 2023","2028","","My Login application","","","","should login with valid credentials",""
"passed","Tue Mar 28 15:46:38 EDT 2023","Tue Mar 28 15:46:42 EDT 2023","3757","","My Login application","","","","should login with valid credentials",""
"passed","Fri Mar 24 15:11:04 EDT 2023","Fri Mar 24 15:11:05 EDT 2023","1432","","My Login application","","","","should login with valid credentials",""
"passed","Fri Mar 24 17:06:20 EDT 2023","Fri Mar 24 17:06:23 EDT 2023","2119","","My Login application","","","","should login with valid credentials",""
